Date,Value,Category
2023-01-01,44.53726568259299,B
2023-01-02,47.01354410499334,B
2023-01-03,45.05346242338419,B
2023-01-04,45.8481736574322,B
2023-01-05,46.83915290981531,B
2023-01-06,46.67412858456373,B
2023-01-07,58.60315343365073,B
2023-01-08,57.1267985412851,B
2023-01-09,50.72216245345771,B
2023-01-10,NA,B
2023-01-11,59.83746143989265,B
2023-01-12,57.48624547384679,B
2023-01-13,NA,B
2023-01-14,NA,B
2023-01-15,53.028510115109384,B
2023-01-16,NA,B
2023-01-17,59.70534502994269,B
2023-01-18,52.03314845915884,B
2023-01-19,53.92047549597919,B
2023-01-20,58.035082099959254,B
2023-01-21,46.987943327985704,B
2023-01-22,NA,B
2023-01-23,57.7287354785949,B
2023-01-24,59.07805456314236,B
2023-01-25,NA,B
2023-01-26,53.5933368653059,B
2023-01-27,44.93434714153409,B
2023-01-28,44.664354366250336,B
2023-01-29,43.18357166368514,B
2023-01-30,41.96398962289095,B
2023-01-31,40.72790467180312,B
2023-02-01,48.79884568974376,B
2023-02-02,51.34801161009818,B
2023-02-03,51.232796013355255,B
2023-02-04,NA,B
2023-02-05,40.271043297834694,B
2023-02-06,43.94984015263617,B
2023-02-07,57.58228630758822,B
2023-02-08,56.13770719617605,B
2023-02-09,41.861294684931636,B
2023-02-10,NA,B
2023-02-11,NA,B
2023-02-12,NA,B
2023-02-13,52.69685000181198,B
2023-02-14,NA,B
2023-02-15,57.45443551801145,B
2023-02-16,44.71388364210725,B
2023-02-17,40.45791945885867,B
2023-02-18,54.31946245022118,B
2023-02-19,47.3898062389344,B
2023-02-20,44.59204123355448,B
2023-02-21,52.937311697751284,B
2023-02-22,42.4886169238016,B
2023-02-23,45.314966230653226,B
2023-02-24,55.457450365647674,B
2023-02-25,46.39488686341792,B
2023-02-26,53.46018852200359,B
2023-02-27,56.99288973584771,B
2023-02-28,52.733930996619165,B
2023-03-01,47.60333703365177,B
2023-03-02,42.05469978041947,B
2023-03-03,44.2265856731683,B
2023-03-04,56.07242116704583,B
2023-03-05,44.37756202649325,B
2023-03-06,59.03986945282668,B
2023-03-07,55.30056975316256,B
2023-03-08,45.8010661136359,B
2023-03-09,55.477247848175466,B
2023-03-10,NA,B
2023-03-11,40.10658999439329,B
2023-03-12,49.822377264499664,B
2023-03-13,45.02485223580152,B
2023-03-14,41.06511615682393,B
2023-03-15,53.030653479509056,B
2023-03-16,40.47391964588314,B
2023-03-17,48.918454996310174,B
2023-03-18,46.81320399977267,B
2023-03-19,58.295589899644256,B
2023-03-20,41.89892395399511,B
2023-03-21,47.33996773138642,B
2023-03-22,56.023888224735856,B
2023-03-23,49.60884428117424,B
2023-03-24,NA,B
2023-03-25,48.20351823698729,B
2023-03-26,43.82954196073115,B
2023-03-27,46.70473682694137,B
2023-03-28,53.774037011899054,B
2023-03-29,51.970736677758396,B
2023-03-30,NA,B
2023-03-31,NA,B
2023-04-01,NA,B
2023-04-02,43.86350633110851,B
2023-04-03,NA,B
2023-04-04,55.55895264726132,B
2023-04-05,56.86148127075285,B
2023-04-06,52.52573763951659,B
2023-04-07,53.89067021664232,B
2023-04-08,51.56947479117662,B
2023-04-09,54.78621022775769,B
2023-04-10,41.856814487837255,B
2023-04-11,NA,B
2023-04-12,48.57935487758368,B
2023-04-13,42.667653118260205,B
2023-04-14,59.518482545390725,B
2023-04-15,45.892678909003735,B
2023-04-16,NA,B
2023-04-17,43.39331096969545,B
2023-04-18,NA,B
2023-04-19,54.5297678373754,B
2023-04-20,53.62175593152642,B
2023-04-21,NA,B
2023-04-22,53.37780153378844,B
2023-04-23,56.25315132550895,B
2023-04-24,44.36497421003878,B
2023-04-25,40.600633304566145,B
2023-04-26,42.61786507908255,B
2023-04-27,56.226054821163416,B
2023-04-28,57.271772171370685,B
2023-04-29,44.02668710798025,B
2023-04-30,42.15641148388386,B
2023-05-01,46.826933710835874,B
2023-05-02,59.665166111662984,B
2023-05-03,59.72131306771189,B
2023-05-04,49.04971117153764,B
2023-05-05,54.71126249525696,B
2023-05-06,45.27663805987686,B
2023-05-07,56.80582496803254,B
2023-05-08,49.512681514024734,B
2023-05-09,NA,B
2023-05-10,57.3395238397643,B
2023-05-11,58.30458841752261,B
2023-05-12,51.46495039574802,B
2023-05-13,58.969441913068295,B
2023-05-14,49.5685869269073,B
2023-05-15,NA,B
2023-05-16,NA,B
2023-05-17,57.80889539513737,B
2023-05-18,46.882389853708446,B
2023-05-19,NA,B
2023-05-20,NA,B
2023-05-21,45.298895980231464,B
2023-05-22,55.440420592203736,B
2023-05-23,51.38194138649851,B
2023-05-24,41.411554613150656,B
2023-05-25,54.16116897482425,B
2023-05-26,49.91278619039804,B
2023-05-27,43.85428141336888,B
2023-05-28,54.11196055356413,B
2023-05-29,55.93087918125093,B
2023-05-30,51.744708800688386,B
2023-05-31,54.07000049483031,B
2023-06-01,40.31390476040542,B
2023-06-02,47.72731609642506,B
2023-06-03,58.96609296556562,B
2023-06-04,43.79535596817732,B
2023-06-05,NA,B
2023-06-06,41.19442446157336,B
2023-06-07,NA,B
2023-06-08,40.72704656980932,B
2023-06-09,49.53694394323975,B
2023-06-10,42.2208645939827,B
2023-06-11,47.315282109193504,B
2023-06-12,46.2622354645282,B
2023-06-13,59.15018424857408,B
2023-06-14,NA,B
2023-06-15,44.78088716045022,B
2023-06-16,43.50809841416776,B
2023-06-17,53.314609858207405,B
2023-06-18,58.86367422528565,B
2023-06-19,47.30678947176784,B
2023-06-20,NA,B
2023-06-21,NA,B
2023-06-22,41.39078772161156,B
2023-06-23,52.12635764386505,B
2023-06-24,58.04940569214523,B
2023-06-25,49.56117446068674,B
2023-06-26,55.70625117979944,B
2023-06-27,40.69474271032959,B
2023-06-28,51.02737201843411,B
2023-06-29,55.00495838467032,B
2023-06-30,50.47689635306597,B
