Date,Value,Category
2023-01-01,NA,C
2023-01-02,49.979922459460795,C
2023-01-03,53.311243490315974,C
2023-01-04,55.52824170328677,C
2023-01-05,47.71225231233984,C
2023-01-06,41.84460717253387,C
2023-01-07,53.65932713262737,C
2023-01-08,51.88773325178772,C
2023-01-09,58.99186432827264,C
2023-01-10,59.486272749491036,C
2023-01-11,57.93290603440255,C
2023-01-12,58.55496576987207,C
2023-01-13,44.2074827151373,C
2023-01-14,51.34276353288442,C
2023-01-15,45.68017393350601,C
2023-01-16,56.44967360422015,C
2023-01-17,53.693939284421504,C
2023-01-18,45.592973357997835,C
2023-01-19,44.59715304430574,C
2023-01-20,49.94264908134937,C
2023-01-21,53.21435413323343,C
2023-01-22,50.43023707810789,C
2023-01-23,53.30930406227708,C
2023-01-24,47.448982736095786,C
2023-01-25,59.19631195720285,C
2023-01-26,58.190736384131014,C
2023-01-27,42.672477210871875,C
2023-01-28,58.06048450991511,C
2023-01-29,NA,C
2023-01-30,54.844505060464144,C
2023-01-31,NA,C
2023-02-01,49.79806055314839,C
2023-02-02,52.02400210313499,C
2023-02-03,57.38577694632113,C
2023-02-04,43.04724171292037,C
2023-02-05,43.87241889722645,C
2023-02-06,NA,C
2023-02-07,NA,C
2023-02-08,NA,C
2023-02-09,40.41529356036335,C
2023-02-10,40.16625650692731,C
2023-02-11,41.62770831491798,C
2023-02-12,46.915577286854386,C
2023-02-13,NA,C
2023-02-14,56.1845136154443,C
2023-02-15,NA,C
2023-02-16,49.03590582776815,C
2023-02-17,46.37246135622263,C
2023-02-18,50.62179661821574,C
2023-02-19,55.1037407014519,C
2023-02-20,NA,C
2023-02-21,NA,C
2023-02-22,54.60324116051197,C
2023-02-23,NA,C
2023-02-24,54.49915033299476,C
2023-02-25,57.20120963640511,C
2023-02-26,55.727756530977786,C
2023-02-27,NA,C
2023-02-28,40.33122003544122,C
2023-03-01,NA,C
2023-03-02,47.92042353190482,C
2023-03-03,59.53143330756575,C
2023-03-04,NA,C
2023-03-05,53.204036727547646,C
2023-03-06,48.305107867345214,C
2023-03-07,58.77823559567332,C
2023-03-08,50.45351751614362,C
2023-03-09,NA,C
2023-03-10,50.42392197996378,C
2023-03-11,55.8943199692294,C
2023-03-12,40.2137117786333,C
2023-03-13,55.16478369012475,C
2023-03-14,57.26780668832362,C
2023-03-15,50.255820699967444,C
2023-03-16,48.244401630945504,C
2023-03-17,52.062839102,C
2023-03-18,NA,C
2023-03-19,59.24950003158301,C
2023-03-20,51.6980121191591,C
2023-03-21,NA,C
2023-03-22,41.06459344737232,C
2023-03-23,46.47687453776598,C
2023-03-24,50.6611858215183,C
2023-03-25,42.96643193811178,C
2023-03-26,53.04504185449332,C
2023-03-27,NA,C
2023-03-28,58.25787715613842,C
2023-03-29,52.920238371007144,C
2023-03-30,NA,C
2023-03-31,NA,C
2023-04-01,59.12071800790727,C
2023-04-02,41.281920219771564,C
2023-04-03,NA,C
2023-04-04,59.11853211931884,C
2023-04-05,55.40627347771078,C
2023-04-06,50.45038565993309,C
2023-04-07,54.96230254415423,C
2023-04-08,46.66147827170789,C
2023-04-09,57.11057269014418,C
2023-04-10,NA,C
2023-04-11,51.84629512485117,C
2023-04-12,42.46165679767728,C
2023-04-13,48.40884777251631,C
2023-04-14,55.372380618937314,C
2023-04-15,59.32223910000175,C
2023-04-16,59.81456390582025,C
2023-04-17,56.95200941991061,C
2023-04-18,55.742871165275574,C
2023-04-19,52.08621148020029,C
2023-04-20,44.668249571695924,C
2023-04-21,55.87973256595433,C
2023-04-22,46.00642642006278,C
2023-04-23,46.85908469837159,C
2023-04-24,NA,C
2023-04-25,43.89337230939418,C
2023-04-26,58.84019657038152,C
2023-04-27,49.614985724911094,C
2023-04-28,51.34242982137948,C
2023-04-29,50.34878987353295,C
2023-04-30,58.65239521488547,C
2023-05-01,58.276170967146754,C
2023-05-02,55.64486537128687,C
2023-05-03,52.23858918529004,C
2023-05-04,54.340118765830994,C
2023-05-05,56.37478843331337,C
2023-05-06,47.1755521511659,C
2023-05-07,50.30780813191086,C
2023-05-08,45.84743523970246,C
2023-05-09,NA,C
2023-05-10,54.178377226926386,C
2023-05-11,57.90138524957001,C
2023-05-12,41.17626016493887,C
2023-05-13,44.90179652813822,C
2023-05-14,56.078879199922085,C
2023-05-15,49.19638067018241,C
2023-05-16,50.125144086778164,C
2023-05-17,43.58735919930041,C
2023-05-18,45.42082769330591,C
2023-05-19,NA,C
2023-05-20,56.08827006537467,C
2023-05-21,56.27945061773062,C
2023-05-22,59.61388466414064,C
2023-05-23,59.0875841723755,C
2023-05-24,48.795942733995616,C
2023-05-25,57.373612355440855,C
2023-05-26,40.810963311232626,C
2023-05-27,NA,C
2023-05-28,53.28014693688601,C
2023-05-29,56.07335228007287,C
2023-05-30,NA,C
2023-05-31,NA,C
2023-06-01,58.74839192721993,C
2023-06-02,57.25262516643852,C
2023-06-03,49.81786617077887,C
2023-06-04,NA,C
2023-06-05,55.86869040504098,C
2023-06-06,48.842397150583565,C
2023-06-07,48.10937053523958,C
2023-06-08,45.04730130545795,C
2023-06-09,44.433110589161515,C
2023-06-10,50.87632863782346,C
2023-06-11,49.04533986467868,C
2023-06-12,48.82326226681471,C
2023-06-13,58.93474473617971,C
2023-06-14,54.10916987340897,C
2023-06-15,50.88189869187772,C
2023-06-16,NA,C
2023-06-17,50.056603364646435,C
2023-06-18,53.653101958334446,C
2023-06-19,59.95299386791885,C
2023-06-20,43.45545870717615,C
2023-06-21,51.09691796824336,C
2023-06-22,NA,C
2023-06-23,43.04222354199737,C
2023-06-24,NA,C
2023-06-25,48.24793458916247,C
2023-06-26,47.205434050410986,C
2023-06-27,42.56903933826834,C
2023-06-28,54.441510061733425,C
2023-06-29,50.39014505688101,C
2023-06-30,45.54567667655647,C
